source_kind	component_section_id	component_name	ie_name	component_kind	usage_or_type	path_signature	tag_text	tag_value	condition_program_index	condition_text
component_usage	sect_C.10.5	Graphic Annotation	Presentation State	module	C				44	Graphic Annotations are to be applied to referenced image(s)
component_usage	sect_C.10.6	Spatial Transformation	Presentation State	module	C				49	rotation, flipping or magnification are to be applied to referenced image(s)
component_usage	sect_C.10.7	Graphic Layer	Presentation State	module	C				46	Graphic Annotations or Overlays are to be applied to referenced image(s)
component_usage	sect_C.7.6.10	Mask	Presentation State	module	C				40	the referenced image(s) are multi-frame and are to be subtracted
component_usage	sect_C.7.6.11	Display Shutter	Presentation State	module	C				41	a Display Shutter is to be applied to referenced image(s) and the is not present
component_usage	sect_C.7.6.15	Bitmap Display Shutter	Presentation State	module	C				41	a Display Shutter is to be applied to referenced image(s) and the is not present
component_usage	sect_C.9.2	Overlay Plane	Presentation State	module	C				42	Overlay is to be applied to referenced image(s) or the is present
component_usage	sect_C.11.7	Overlay Activation	Presentation State	module	C				43	referenced image contains overlay data that is to be displayed or Presentation State Instance contains Overlay data other than Bitmap Shutter
component_usage	sect_C.10.5	Graphic Annotation	Presentation State	module	C				44	Graphic Annotations are to be applied to referenced image(s)
component_usage	sect_C.10.6	Spatial Transformation	Presentation State	module	C				45	rotation or flipping are to be applied to referenced image(s)
component_usage	sect_C.10.7	Graphic Layer	Presentation State	module	C				46	Graphic Annotations or Overlays are to be applied to referenced image(s)
component_usage	sect_C.11.1	Modality LUT	Presentation State	module	C				47	a Modality LUT is to be applied to referenced image(s)
component_usage	sect_C.11.8	Softcopy VOI LUT	Presentation State	module	C				48	a VOI LUT is to be applied to referenced image(s)
component_usage	sect_C.10.5	Graphic Annotation	Presentation State	module	C				50	Graphic Annotations are to be applied
component_usage	sect_C.10.6	Spatial Transformation	Presentation State	module	C				51	rotation or flipping are to be applied
component_usage	sect_C.10.7	Graphic Layer	Presentation State	module	C				52	is present
component_usage	sect_C.7.6.15	Bitmap Display Shutter	Presentation State	module	C				41	a Display Shutter is to be applied to referenced image(s) and the is not present
component_usage	sect_C.9.2	Overlay Plane	Presentation State	module	C				42	Overlay is to be applied to referenced image(s) or the is present
component_usage	sect_C.11.7	Overlay Activation	Presentation State	module	C				43	referenced image contains overlay data that is to be displayed or Presentation State Instance contains Overlay data other than Bitmap Shutter
component_usage	sect_C.10.5	Graphic Annotation	Presentation State	module	C				44	Graphic Annotations are to be applied to referenced image(s)
component_usage	sect_C.10.6	Spatial Transformation	Presentation State	module	C				45	rotation or flipping are to be applied to referenced image(s)
component_usage	sect_C.10.7	Graphic Layer	Presentation State	module	C				46	Graphic Annotations or Overlays are to be applied to referenced image(s)
component_usage	sect_C.11.8	Softcopy VOI LUT	Presentation State	module	C				48	a VOI LUT is to be applied to referenced image(s)
component_usage	sect_C.11.19	XA/XRF Presentation State Mask	Presentation State	module	C				53	the referenced image(s) are to be subtracted
component_usage	sect_C.11.20	XA/XRF Presentation State Shutter	Presentation State	module	C				41	a Display Shutter is to be applied to referenced image(s) and the is not present
component_usage	sect_C.11.21	XA/XRF Presentation State Presentation	Presentation State	module	C				54	the referenced image(s) are to be displayed with a prescribed preference
component_usage	sect_C.10.6	Spatial Transformation	Presentation State	module	C				51	rotation or flipping are to be applied
component_usage	sect_C.10.7	Graphic Layer	Presentation State	module	C				55	Graphic Annotation Module is present
component_usage	sect_C.7.6.10	Mask	Presentation State	module	C				40	the referenced image(s) are multi-frame and are to be subtracted
component_usage	sect_C.7.6.11	Display Shutter	Presentation State	module	C				41	a Display Shutter is to be applied to referenced image(s) and the is not present
component_usage	sect_C.7.6.15	Bitmap Display Shutter	Presentation State	module	C				41	a Display Shutter is to be applied to referenced image(s) and the is not present
component_usage	sect_C.9.2	Overlay Plane	Presentation State	module	C				42	Overlay is to be applied to referenced image(s) or the is present
component_usage	sect_C.11.7	Overlay Activation	Presentation State	module	C				43	referenced image contains overlay data that is to be displayed or Presentation State Instance contains Overlay data other than Bitmap Shutter
component_usage	sect_C.10.5	Graphic Annotation	Presentation State	module	C				44	Graphic Annotations are to be applied to referenced image(s)
component_usage	sect_C.10.6	Spatial Transformation	Presentation State	module	C				45	rotation or flipping are to be applied to referenced image(s)
component_usage	sect_C.10.7	Graphic Layer	Presentation State	module	C				46	Graphic Annotations or Overlays are to be applied to referenced image(s)
