uid_value	sop_class_name	sop_class_keyword	iod_xml_id	iod_title	part04_section_id	retired
1.2.840.10008.5.1.4.1.1.481.18	Tomotherapeutic Radiation Record Storage	TomotherapeuticRadiationRecordStorage	sect_A.86.1.11	Tomotherapeutic Radiation Record IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.19	C-Arm Photon-Electron Radiation Record Storage	CArmPhotonElectronRadiationRecordStorage	sect_A.86.1.10	C-Arm Photon-Electron Radiation Record IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.20	Robotic Radiation Record Storage	RoboticRadiationRecordStorage	sect_A.86.1.12	Robotic-Arm Radiation Record IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.21	RT Radiation Set Delivery Instruction Storage	RTRadiationSetDeliveryInstructionStorage	sect_A.86.1.13	RT Radiation Set Delivery Instruction IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.22	RT Treatment Preparation Storage	RTTreatmentPreparationStorage	sect_A.86.1.14	RT Treatment Preparation IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.23	Enhanced RT Image Storage	EnhancedRTImageStorage	sect_A.86.1.15	Enhanced RT Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.24	Enhanced Continuous RT Image Storage	EnhancedContinuousRTImageStorage	sect_A.86.1.16	Enhanced Continuous RT Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.25	RT Patient Position Acquisition Instruction Storage	RTPatientPositionAcquisitionInstructionStorage	sect_A.86.1.17	RT Patient Position Acquisition Instruction IOD	sect_B.5	N
1.2.840.10008.5.1.4.34.7	RT Beams Delivery Instruction Storage	RTBeamsDeliveryInstructionStorage	sect_A.64	RT Beams Delivery Instruction IOD	sect_B.5	N
1.2.840.10008.5.1.4.34.10	RT Brachy Application Setup Delivery Instruction Storage	RTBrachyApplicationSetupDeliveryInstructionStorage	sect_A.79	RT Brachy Application Setup Delivery Instruction IOD	sect_B.5	N
