uid_value	sop_class_name	sop_class_keyword	iod_xml_id	iod_title	part04_section_id	retired
1.2.840.10008.5.1.4.1.1.11.9	Volume Rendering Volumetric Presentation State Storage	VolumeRenderingVolumetricPresentationStateStorage	sect_A.80.2	Volume Rendering Volumetric Presentation State IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.11.10	Segmented Volume Rendering Volumetric Presentation State Storage	SegmentedVolumeRenderingVolumetricPresentationStateStorage	sect_A.80.2	Volume Rendering Volumetric Presentation State IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.11.11	Multiple Volume Rendering Volumetric Presentation State Storage	MultipleVolumeRenderingVolumetricPresentationStateStorage	sect_A.80.2	Volume Rendering Volumetric Presentation State IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.11.12	Variable Modality LUT Softcopy Presentation State Storage	VariableModalityLUTSoftcopyPresentationStateStorage	sect_A.33.8	Variable Modality LUT Softcopy Presentation State IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.12.1	X-Ray Angiographic Image Storage	XRayAngiographicImageStorage	sect_A.14	X-Ray Angiographic Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.12.1.1	Enhanced XA Image Storage	EnhancedXAImageStorage	sect_A.47	Enhanced XA Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.12.2	X-Ray Radiofluoroscopic Image Storage	XRayRadiofluoroscopicImageStorage	sect_A.16	X-Ray Radiofluoroscopic Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.12.2.1	Enhanced XRF Image Storage	EnhancedXRFImageStorage	sect_A.48	Enhanced XRF Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.13.1.1	X-Ray 3D Angiographic Image Storage	XRay3DAngiographicImageStorage	sect_A.53	X-Ray 3D Angiographic Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.13.1.2	X-Ray 3D Craniofacial Image Storage	XRay3DCraniofacialImageStorage	sect_A.54	X-Ray 3D Craniofacial Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.13.1.3	Breast Tomosynthesis Image Storage	BreastTomosynthesisImageStorage	sect_A.55	Breast Tomosynthesis Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.13.1.4	Breast Projection X-Ray Image Storage - For Presentation	BreastProjectionXRayImageStorageForPresentation	sect_A.74	Breast Projection X-Ray Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.13.1.5	Breast Projection X-Ray Image Storage - For Processing	BreastProjectionXRayImageStorageForProcessing	sect_A.74	Breast Projection X-Ray Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.14.1	Intravascular Optical Coherence Tomography Image Storage - For Presentation	IntravascularOpticalCoherenceTomographyImageStorageForPresentation	sect_A.66	Intravascular Optical Coherence Tomography Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.14.2	Intravascular Optical Coherence Tomography Image Storage - For Processing	IntravascularOpticalCoherenceTomographyImageStorageForProcessing	sect_A.66	Intravascular Optical Coherence Tomography Image IOD	sect_B.5	N
